a,c,eta_c_mean,eta_c_mean_low,eta_c_mean_high,valid_mean_boot_count,estimable_mean_boundary,eta_c_probability,eta_c_probability_low,eta_c_probability_high,valid_probability_boot_count,estimable_probability_boundary
0.05,0.01,,,,0,False,,,,0,False
0.05,0.02,,,,0,False,,,,0,False
0.05,0.03,,,,0,False,,,,0,False
0.05,0.05,,,,0,False,,,,0,False
0.1,0.01,,,,0,False,,,,0,False
0.1,0.02,,,,0,False,,,,0,False
0.1,0.03,,,,0,False,,,,0,False
0.1,0.05,,,,0,False,,,,0,False
0.15,0.01,0.3174897039126118,0.3173435956997035,0.3176330342861994,500,True,0.3058426966292135,0.3055199283683954,0.30616088262388663,500,True
0.15,0.02,0.3029762133359336,0.3028081742160994,0.3031264790110758,500,True,0.2912089455488332,0.29094038615268464,0.29152079362147537,500,True
0.15,0.03,0.28834538701579504,0.2881469435010239,0.28854485646578387,500,True,0.27653707865168536,0.2763433689953775,0.27676094401405765,500,True
0.15,0.05,0.25926649623182624,0.2590897591550492,0.25946184118368243,500,True,0.24739446707551815,0.24723409282585632,0.24755332542171124,500,True
0.2,0.01,0.23999976558489622,0.23983451665933364,0.24014436877286546,500,True,0.22863359824609483,0.22837479935794544,0.22890221682356515,500,True
0.2,0.02,0.22545420696967186,0.225305782638847,0.22558939093897548,500,True,0.21365168539325843,0.21332568901253243,0.21401638459149683,500,True
0.2,0.03,0.2107477161329047,0.21056993594725626,0.21091622866089696,500,True,0.19903833443489757,0.1987799252367401,0.1993301943267637,500,True
0.2,0.05,0.18179107551937587,0.18159743846466772,0.18199956420474728,500,True,0.1697915434654051,0.16964904378620502,0.16993130092632303,500,True
0.25,0.01,0.16246970932067653,0.16233241047399938,0.1625999962535653,500,True,0.15082687134040199,0.15052348407484475,0.15104901818766506,500,True
0.25,0.02,0.1479302048881678,0.14778762637522494,0.14807369706458204,500,True,0.13636005366426296,0.13604105465235497,0.13665180297134316,500,True
0.25,0.03,0.13330814823992765,0.13314240347889333,0.1334575266155431,500,True,0.12149077046548958,0.12119671052829105,0.12181759874315036,500,True
0.25,0.05,0.10425531161962708,0.10404825242484989,0.10445760017468479,500,True,0.09240660112359551,0.09222208520847615,0.09263067912068942,500,True
0.3,0.01,0.08490248148766623,0.08474171570375096,0.08503389018538579,500,True,0.07334664116662683,0.07316369887444381,0.07352663072859815,500,True
0.3,0.02,0.07037842346921533,0.0702511294183525,0.07050960824099092,500,True,0.05889124443502226,0.05862282843560933,0.059119816463530754,500,True
0.3,0.03,0.05574487553931503,0.05559705250456155,0.0558881625247217,500,True,0.043894931867081044,0.04359003749655988,0.044239535324154124,500,True
0.3,0.05,0.02663841554505207,0.02645647828953956,0.026792487347426185,500,True,0.01464870157116882,0.01447578117680859,0.014862921348314607,500,True
0.35,0.01,0.007257773283552912,0.007141704040513124,0.007387136565396703,500,True,,,,0,False
0.35,0.02,,,,0,False,,,,0,False
0.35,0.03,,,,0,False,,,,0,False
0.35,0.05,,,,0,False,,,,0,False
0.4,0.01,,,,0,False,,,,0,False
0.4,0.02,,,,0,False,,,,0,False
0.4,0.03,,,,0,False,,,,0,False
0.4,0.05,,,,0,False,,,,0,False
