mode,regime,mean_delta_terminal_psi,se_delta_terminal_psi,mean_delta_p_ever_unstable,se_delta_p_ever_unstable,n_conditions
full,buffered,0.0,0.0,0.0,0.0,16
memoryless,buffered,-0.013337117983405332,0.0002841005396257549,0.0022916666666666667,0.0022916666666666667,16
no_consensus_risk,buffered,0.616188813558615,0.027074677574959533,0.0,0.0,16
no_crypto_risk,buffered,0.11760080114799126,0.0011659383474959563,0.0,0.0,16
no_cumulative_stress,buffered,0.01851697957118166,0.00033273730244436566,0.0,0.0,16
no_operational_cost,buffered,0.04438172244083698,0.0004127782611307697,0.0,0.0,16
no_quantum_risk,buffered,0.19627281862128704,0.02705203526819057,0.0,0.0,16
no_resilience_reserve,buffered,-0.5385532881248606,0.0007933277648835202,1.0,0.0,16
pqc_consensus_only,buffered,0.0693126023825098,0.026045772836682288,0.0625,0.0625,16
qkd_only,buffered,0.7778643114996683,0.027640914858424077,0.0,0.0,16
static_threshold,buffered,0.23921690864109746,0.028359955404524854,0.0,0.0,16
full,stressed,0.0,0.0,0.0,0.0,16
memoryless,stressed,-0.013155969572727843,0.00021483875208576022,0.006666666666666668,0.006666666666666668,16
no_consensus_risk,stressed,0.6160585173076885,0.02707400074993696,-0.9933333333333333,0.006666666666666668,16
no_crypto_risk,stressed,0.1328141544428794,0.001166964445390978,-0.9933333333333333,0.006666666666666668,16
no_cumulative_stress,stressed,0.021388971035638752,0.00032922224101237835,-0.057916666666666665,0.05573322285342586,16
no_operational_cost,stressed,0.04834688974131567,0.00039715540437255226,-0.5995833333333334,0.04850627584443375,16
no_quantum_risk,stressed,0.28975899317154924,0.02694654010692077,-0.9933333333333333,0.006666666666666668,16
no_resilience_reserve,stressed,-0.5227494294690245,0.0008142200804398693,0.006666666666666668,0.006666666666666668,16
pqc_consensus_only,stressed,0.18286306715190828,0.025886912482399202,-0.8725,0.08221893762208135,16
qkd_only,stressed,0.7972348862723176,0.027651428142652285,-0.9933333333333333,0.006666666666666668,16
static_threshold,stressed,0.2744210106118706,0.02840214908689357,-0.9933333333333333,0.006666666666666668,16
full,threshold_adjacent,0.0,0.0,0.0,0.0,16
memoryless,threshold_adjacent,-0.013362900530490787,0.0002283542741376534,0.5785416666666667,0.008750496017686972,16
no_consensus_risk,threshold_adjacent,0.6160863973145195,0.027118672017812172,0.0,0.0,16
no_crypto_risk,threshold_adjacent,0.12522442284830207,0.0012095712726365047,0.0,0.0,16
no_cumulative_stress,threshold_adjacent,0.01996207561136701,0.0002997076372750295,0.0,0.0,16
no_operational_cost,threshold_adjacent,0.04627162171447848,0.000374349145550014,0.0,0.0,16
no_quantum_risk,threshold_adjacent,0.24324913537675275,0.027991013785981053,0.0,0.0,16
no_resilience_reserve,threshold_adjacent,-0.5305845601692988,0.0006338512175838337,1.0,0.0,16
pqc_consensus_only,threshold_adjacent,0.12631941396038615,0.02713552641215822,0.06291666666666666,0.06247360553777002,16
qkd_only,threshold_adjacent,0.7875718384080618,0.02745412432054939,0.0,0.0,16
static_threshold,threshold_adjacent,0.25687754989821976,0.02800092625170028,0.0,0.0,16
