a,c,probability_sum_max_error,count_sum_max_error,upward_steps_p_stable,upward_steps_mean_psi,slice_missing_values
0.05,0.01,0.0,0.0,0,0,0
0.05,0.02,0.0,0.0,0,0,0
0.05,0.03,0.0,0.0,0,0,0
0.05,0.05,0.0,0.0,0,0,0
0.1,0.01,0.0,0.0,0,0,0
0.1,0.02,0.0,0.0,0,0,0
0.1,0.03,0.0,0.0,0,0,0
0.1,0.05,0.0,0.0,0,0,0
0.15,0.01,0.0,0.0,0,0,0
0.15,0.02,0.0,0.0,0,0,0
0.15,0.03,0.0,0.0,0,0,0
0.15,0.05,0.0,0.0,0,0,0
0.2,0.01,0.0,0.0,0,0,0
0.2,0.02,0.0,0.0,0,0,0
0.2,0.03,0.0,0.0,0,0,0
0.2,0.05,0.0,0.0,0,0,0
0.25,0.01,0.0,0.0,0,0,0
0.25,0.02,0.0,0.0,0,0,0
0.25,0.03,0.0,0.0,0,0,0
0.25,0.05,0.0,0.0,0,0,0
0.3,0.01,0.0,0.0,0,0,0
0.3,0.02,0.0,0.0,0,0,0
0.3,0.03,0.0,0.0,0,0,0
0.3,0.05,0.0,0.0,0,0,0
0.35,0.01,0.0,0.0,0,0,0
0.35,0.02,0.0,0.0,0,0,0
0.35,0.03,0.0,0.0,0,0,0
0.35,0.05,0.0,0.0,0,0,0
0.4,0.01,0.0,0.0,0,0,0
0.4,0.02,0.0,0.0,0,0,0
0.4,0.03,0.0,0.0,0,0,0
0.4,0.05,0.0,0.0,0,0,0
