slope_window,slope_threshold,level_threshold,tpr_calibration,fpr_calibration,precision_calibration,median_lead_calibration,score
3,-0.0015,0.12,1.0,0.5,0.6666666666666666,25.5,1.005
5,-0.0015,0.12,1.0,0.5,0.6666666666666666,25.5,1.005
7,-0.0015,0.12,1.0,0.5,0.6666666666666666,25.5,1.005
7,-0.0025,0.12,1.0,0.5,0.6666666666666666,25.5,1.005
3,-0.0025,0.12,1.0,0.5,0.6666666666666666,24.5,0.995
5,-0.0025,0.12,1.0,0.5,0.6666666666666666,24.5,0.995
3,-0.0035,0.12,1.0,0.5,0.6666666666666666,24.0,0.99
7,-0.0035,0.12,1.0,0.4766666666666667,0.6772009029345373,21.5,0.9766666666666667
5,-0.0035,0.12,1.0,0.5,0.6666666666666666,19.0,0.94
3,-0.0015,0.08,1.0,0.5,0.6666666666666666,17.5,0.925
5,-0.0015,0.08,1.0,0.5,0.6666666666666666,17.0,0.92
3,-0.0025,0.08,1.0,0.5,0.6666666666666666,16.5,0.915
5,-0.0025,0.08,1.0,0.5,0.6666666666666666,16.5,0.915
7,-0.0015,0.08,1.0,0.5,0.6666666666666666,16.0,0.91
7,-0.0025,0.08,1.0,0.5,0.6666666666666666,15.5,0.905
5,-0.0035,0.08,0.9966666666666667,0.4866666666666667,0.6719101123595506,11.0,0.8633333333333334
3,-0.0035,0.08,1.0,0.5,0.6666666666666666,11.0,0.86
5,-0.0035,0.05,0.9833333333333333,0.3933333333333333,0.7142857142857143,7.0,0.8566666666666667
3,-0.0015,0.05,1.0,0.5,0.6666666666666666,10.5,0.855
5,-0.0015,0.05,1.0,0.5,0.6666666666666666,10.5,0.855
7,-0.0015,0.05,1.0,0.5,0.6666666666666666,10.5,0.855
7,-0.0035,0.08,0.98,0.45,0.6853146853146853,10.0,0.855
3,-0.0025,0.05,1.0,0.5,0.6666666666666666,8.0,0.83
5,-0.0025,0.05,1.0,0.5,0.6666666666666666,8.0,0.83
7,-0.0025,0.05,1.0,0.5,0.6666666666666666,8.0,0.83
3,-0.0035,0.05,0.9966666666666667,0.48,0.6749435665914221,7.0,0.8266666666666667
7,-0.0035,0.05,0.9066666666666666,0.35,0.7214854111405835,7.0,0.8016666666666667
